  0.0006           0.0001          0.9984          0.0070          0.0903         -0.1395          0.5872          0.0580          0.8074          0.0028
 -0.0009           0.0026          0.9992         -0.0235         -0.0926          0.0434          0.5916          0.0584          0.8041          0.0028
 -0.0014           0.0009          1.0004          0.1594         -0.0621         -0.2005          0.5869          0.0669          0.8069          0.0028
 -0.0014           0.0026          1.0038         -0.0540          0.0293         -0.0480          0.5858          0.0587          0.8083          0.0028
  0.0006           0.0004          0.9977         -0.1149         -0.1231          0.0130          0.5961          0.0589          0.8008          0.0028
 -0.0019           0.0018          0.9984          0.0375         -0.1231          0.0130          0.5872          0.0580          0.8074          0.0028
 -0.0012           0.0004          0.9970          0.0680         -0.2755          0.0739          0.5858          0.0587          0.8083          0.0028
  0.0010           0.0009          0.9984         -0.0845          0.0293         -0.0480          0.5813          0.0583          0.8116          0.0028
  0.0006          -0.0003          0.9987         -0.1149          0.1208          0.0434          0.5872          0.0580          0.8074          0.0028
  0.0006           0.0001          1.0006          0.1594          0.0293          0.0434          0.5872          0.0580          0.8074          0.0028
 -0.0009          -0.0008          1.0021          0.0375         -0.0012          0.0130          0.5854          0.0677          0.8079          0.0028
  0.0008           0.0021          1.0033         -0.1454          0.0293         -0.0480          0.5825          0.0664          0.8101          0.0028
 -0.0009           0.0011          1.0016          0.0680         -0.0316          0.1044          0.5872          0.0580          0.8074          0.0028
  0.0001          -0.0006          1.0026          0.0375         -0.1536         -0.0175          0.5913          0.0674          0.8037          0.0028
  0.0028          -0.0001          1.0021         -0.0540         -0.1841          0.0130          0.5872          0.0580          0.8074          0.0028
  0.0030          -0.0008          1.0009         -0.0845         -0.1536          0.1044          0.5828          0.0575          0.8106          0.0028
 -0.0009           0.0006          1.0014         -0.0540          0.0598          0.0130          0.5872          0.0580          0.8074          0.0028
  0.0013           0.0016          1.0006         -0.0235         -0.0012         -0.0175          0.5872          0.0580          0.8074          0.0028
 -0.0002          -0.0013          1.0011         -0.0845         -0.0926          0.0739          0.5872          0.0580          0.8074          0.0028
